tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count
667453023279554560,2015-11-19 21:22:56+00:00,Twitter Web Client,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,https://twitter.com/dog_rates/status/667453023279554560/photo/1,11,10,Cupcake,,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,1,Labrador retriever,0.8256700000000001,True,French bulldog,0.0566394,True,Staffordshire bullterrier,0.0540184,True,96,327
667455448082227200,2015-11-19 21:32:34+00:00,Twitter Web Client,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,https://twitter.com/dog_rates/status/667455448082227200/photo/1,7,10,Reese,,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,1,Tibetan terrier,0.676376,True,Irish terrier,0.054933400000000014,True,Yorkshire terrier,0.0405755,True,66,203
667491009379606528,2015-11-19 23:53:52+00:00,Twitter Web Client,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,https://twitter.com/dog_rates/status/667491009379606528/photo/1,7,10,,,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,1,borzoi,0.852088,True,ice bear,0.13226400000000002,False,weasel,0.00572998,False,242,559
667502640335572993,2015-11-20 00:40:05+00:00,Twitter Web Client,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,https://twitter.com/dog_rates/status/667502640335572993/photo/1,11,10,Hall,,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,1,Labrador retriever,0.996709,True,golden retriever,0.00168821,True,beagle,0.0007116669999999999,True,231,563
667530908589760512,2015-11-20 02:32:25+00:00,Twitter Web Client,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",https://twitter.com/dog_rates/status/667530908589760512/photo/1,10,10,Naphaniel,,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,1,golden retriever,0.633037,True,kuvasz,0.14639100000000002,True,Labrador retriever,0.0461837,True,264,501
667534815156183040,2015-11-20 02:47:56+00:00,Twitter Web Client,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",https://twitter.com/dog_rates/status/667534815156183040/photo/1,8,10,Frank,,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,1,Pembroke,0.435254,True,Cardigan,0.30740700000000004,True,cocker spaniel,0.0331583,True,576,866
667538891197542400,2015-11-20 03:04:08+00:00,Twitter Web Client,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",https://twitter.com/dog_rates/status/667538891197542400/photo/1,9,10,,,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,1,Yorkshire terrier,0.618957,True,silky terrier,0.300313,True,Australian terrier,0.053412,True,72,220
667544320556335104,2015-11-20 03:25:43+00:00,Twitter Web Client,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",https://twitter.com/dog_rates/status/667544320556335104/photo/1,10,10,Kial,,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,1,Pomeranian,0.412893,True,Pembroke,0.312958,True,Chihuahua,0.0719604,True,568,917
667546741521195010,2015-11-20 03:35:20+00:00,Twitter Web Client,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,https://twitter.com/dog_rates/status/667546741521195010/photo/1,9,10,George,,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,1,toy poodle,0.787424,True,miniature poodle,0.202225,True,teddy,0.00404722,False,138,355
667728196545200128,2015-11-20 15:36:22+00:00,Twitter Web Client,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,https://twitter.com/dog_rates/status/667728196545200128/photo/1,11,10,Olive,,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,1,kuvasz,0.360159,True,golden retriever,0.293744,True,Labrador retriever,0.270673,True,162,398
